log_file,model,tier,backend,gpu_config,run_1_decode_tok_s,run_1_prompt_tok_s,run_1_ttft_s,run_2_decode_tok_s,run_2_prompt_tok_s,run_2_ttft_s,decode_tok_s,prompt_tok_s,ttft_s,bw_gb_s,bw_pct,gpu0_gib,gpu1_gib,avg_watts,peak_watts
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,ollama,auto,17.3,721.0,0.74,17.2,719.0,0.74,17.3,720.0,0.74,377.8,56.2,14.8,13.2,91.2,114.5
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,single0,4.4,260.0,2.05,4.3,303.0,1.74,4.3,282.0,1.9,94.7,14.1,15.8,0.3,4.5,5.1
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,single1,4.2,103.0,5.22,4.2,108.0,4.91,4.2,105.0,5.06,91.9,13.7,2.4,14.0,35.4,81.2
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,dual,17.3,610.0,0.88,17.3,678.0,0.78,17.3,644.0,0.83,379.1,56.4,15.7,14.6,99.9,113.8
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),chat,llamacpp,dual_tensor,28.9,549.0,0.97,28.9,585.0,0.9,28.9,567.0,0.94,632.7,47.1,15.8,14.6,145.6,153.1
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,ollama,auto,16.8,2160.0,0.93,16.7,2145.0,0.93,16.7,2153.0,0.93,366.3,54.5,14.3,13.2,96.7,118.4
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,single0,4.1,482.0,4.15,4.1,4.0,0.23,4.1,243.0,2.19,89.9,13.4,15.8,0.3,4.6,5.6
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,single1,4.1,255.0,7.85,4.2,4.0,0.25,4.1,129.0,4.05,90.1,13.4,2.2,14.0,36.3,166.8
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,dual,16.4,756.0,2.64,16.4,14.0,0.07,16.4,385.0,1.36,358.8,53.4,15.4,14.6,98.2,170.9
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),rag,llamacpp,dual_tensor,27.5,614.0,3.25,27.5,17.0,0.06,27.5,316.0,1.66,602.1,44.8,15.8,14.7,148.3,154.1
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),longdoc,ollama,auto,16.8,4204.0,0.95,16.8,4221.0,0.94,16.8,4213.0,0.95,367.3,54.7,13.6,13.2,96.2,124.1
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),longdoc,llamacpp,single0,4.0,530.0,7.52,3.9,4.0,0.24,3.9,267.0,3.88,86.4,12.9,15.8,0.3,4.5,5.4
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),longdoc,llamacpp,single1,3.9,260.0,15.31,3.9,4.0,0.28,3.9,132.0,7.79,85.0,12.6,2.3,14.0,36.3,171.4
2026-07-05_10-35-31_gemma4-31b-q5_single0_single1_dual_dual_21_dual_tensor.log,gemma4-31b-q5  —  Gemma 4 31B IT UD (Q5_K_XL),longdoc,llamacpp,dual,15.2,752.0,5.3,15.2,14.0,0.07,15.2,383.0,2.69,333.0,49.6,15.7,14.6,96.7,164.8
