id,ollama_tag,backend,gpu_config,ok,error,load_time_s,decode_tok_per_s,prompt_tok_per_s,ttft_s,n_generated,peak_vram_mib,gguf_size_gb,bandwidth_gb_s,bandwidth_pct
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,ollama,auto,True,,14.2116942,17.478212744797197,919.2569656888579,0.771307,256,"{0: 14385.79296875, 1: 12244.09765625}",22.523238624,393.6659563721053,58.58124350775377
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single0,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,single1,True,,,5.026488974067377,9.892026414264581,0.40479350000000003,256,"{0: 2776.36328125, 1: 13864.09765625}",22.523238624,113.21281060382448,16.84714443509293
qwen3.6-27b-q6,eval/qwen3.6-27b-q6,llamacpp,dual,True,,,17.436058961453067,36.70463844518065,0.109047,256,"{0: 14125.1484375, 1: 12044.09765625}",22.523238624,392.71651665094106,29.21997891748073
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,chat,True,,7.4459853,77.69122137143894,7637.0372714455525,0.07005349999999999,256,"{0: 12813.9296875, 1: 9474.09765625}",16.947539744,1316.6750619523636,97.96689449050324
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,chat,False,"llama-server crashed (exit 3221225506).
",,,,,,,,,
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,chat,True,,,54.71640352506615,414.18607168479093,1.274801,256,"{0: 3505.89453125, 1: 14356.09765625}",16.947539744,927.3084233898003,68.99616245459823
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,chat,True,,,83.67770996192348,2768.1374782432054,0.1907425,256,"{0: 13351.2421875, 1: 9770.09765625}",16.947539744,1418.131315266603,105.51572286209843
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,ollama,auto,rag,True,,7.6480606,74.29711116827855,66949.16993258592,0.029848,512,"{0: 12866.3984375, 1: 9486.09765625}",16.947539744,1259.153244388787,93.68699735035617
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single0,rag,True,,,53.836372629949686,44.04701090798605,0.023157999999999998,512,"{0: 15974.37109375, 1: 261.0}",16.947539744,912.3940648188661,135.77292631233126
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,single1,rag,True,,,52.18119889485132,44.014816407052336,0.023197500000000003,512,"{0: 1940.2421875, 1: 14364.09765625}",16.947539744,884.3429421600616,65.79932605357601
gemma4-26b-moe-q4,eval/gemma4-26b-moe-q4,llamacpp,dual,rag,True,,,77.90949075430905,60.696357967914395,0.016978,512,"{0: 11860.59765625, 1: 9810.09765625}",16.947539744,1320.374190993453,98.2421273060605
